energy_function,model_name,energy,time,lr,clamp_grads,patience,min_delta,x0_std,num_nodes,lr_cg,cg_patience,cg_min_delta,cg_steps,cg_time,cg_energy,num_cg_modes,hidden_dims
Energy_LJ_2scale,GD_2LJ_n1000_d3,-0.0011438175570219755,2.4784095287323,0.05,0.1,20,1e-06,2.5303592681884766,1000,,,,,,,,
Energy_LJ_2scale,CG_2LJ0.33_n1000_d3,0.1372944861650467,11.926819562911987,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.05,20.0,9.999999999999999e-06,580.0,10.441059350967407,0.15410469472408295,333.0,
Energy_LJ_2scale,GNN_2LJ0.33_n1000_d3,0.03142869845032692,4.540106534957886,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.005,20.0,9.999999999999999e-06,97.0,3.327610969543457,0.04116746038198471,333.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_2LJ0.33_n1000_d3,-0.02788393385708332,4.7634406089782715,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.005,20.0,9.999999999999999e-06,30.0,2.0504534244537354,-0.005726140923798084,333.0,"[32, 16, 3]"
Energy_LJ_2scale,CG_2LJ0.25_n1000_d3,0.47341388463974,16.559234857559204,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.05,20.0,9.999999999999999e-06,865.0,15.198349475860596,0.4982251226902008,250.0,
Energy_LJ_2scale,GNN_2LJ0.25_n1000_d3,-0.025778761133551598,6.505024194717407,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.005,20.0,9.999999999999999e-06,180.0,4.973675727844238,-0.017832022160291672,250.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_2LJ0.25_n1000_d3,-0.027374200522899628,4.550583839416504,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.005,20.0,9.999999999999999e-06,35.0,2.163832902908325,-0.005932965315878391,250.0,"[32, 16, 3]"
Energy_LJ_2scale,CG_2LJ0.20_n1000_d3,0.39252278208732605,13.861361026763916,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.05,20.0,9.999999999999999e-06,689.0,12.398494005203247,0.4252178370952606,200.0,
Energy_LJ_2scale,GNN_2LJ0.20_n1000_d3,0.02985175885260105,12.173056602478027,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.005,20.0,9.999999999999999e-06,468.0,10.757779836654663,0.031339630484580994,200.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_2LJ0.20_n1000_d3,-0.017221545800566673,4.384654521942139,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.005,20.0,9.999999999999999e-06,46.0,2.41884446144104,0.00068050337722525,200.0,"[32, 16, 3]"
Energy_LJ_2scale,CG_2LJ0.33_n1000_d3,-0.006733663380146027,4.180406808853149,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.5,20.0,9.999999999999999e-06,145.0,3.893261671066284,0.025630779564380646,333.0,
Energy_LJ_2scale,GNN_2LJ0.33_n1000_d3,-0.010925835929811,4.346793174743652,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.05,20.0,9.999999999999999e-06,24.0,1.8409099578857422,-0.0006165941595099866,333.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_2LJ0.33_n1000_d3,0.07145044952630997,2.4434432983398438,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.05,20.0,9.999999999999999e-06,32.0,2.120257616043091,0.08476085215806961,333.0,"[32, 16, 3]"
Energy_LJ_2scale,CG_2LJ0.25_n1000_d3,-0.07068699598312378,11.562070846557617,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.5,20.0,9.999999999999999e-06,510.0,9.586739301681519,-0.018253279849886894,250.0,
Energy_LJ_2scale,GNN_2LJ0.25_n1000_d3,0.028331154957413673,4.287675142288208,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.05,20.0,9.999999999999999e-06,22.0,1.8009319305419922,0.04339177533984184,250.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_2LJ0.25_n1000_d3,0.19391632080078125,2.320704936981201,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.05,20.0,9.999999999999999e-06,27.0,1.9975647926330566,0.20942571759223938,250.0,"[32, 16, 3]"
Energy_LJ_2scale,CG_2LJ0.20_n1000_d3,-0.0922616571187973,10.459697723388672,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.5,20.0,9.999999999999999e-06,495.0,9.35895562171936,-0.05262424051761627,200.0,
Energy_LJ_2scale,GNN_2LJ0.20_n1000_d3,-0.010033611208200455,3.102318286895752,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.05,20.0,9.999999999999999e-06,33.0,2.0181050300598145,-0.0003079641901422292,200.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_2LJ0.20_n1000_d3,-0.01424377504736185,3.8369357585906982,0.05,0.1,20,1e-06,2.5303592681884766,1000,0.05,20.0,9.999999999999999e-06,26.0,1.95835280418396,0.00013906173990108073,200.0,"[32, 16, 3]"
Energy_LJ_2scale,GD_2LJ_n1000_d3,-0.00394598999992013,2.4000866413116455,0.05,0.1,20,1e-07,2.5303592681884766,1000,,,,,,,,
Energy_LJ_2scale,CG_2LJ0.33_n1000_d3,0.13600385189056396,15.65164041519165,0.05,0.1,20,1e-07,2.5303592681884766,1000,0.05,20.0,1e-06,823.0,14.266390323638916,0.15444262325763702,333.0,
Energy_LJ_2scale,GNN_2LJ0.33_n1000_d3,0.04516942799091339,5.728881359100342,0.05,0.1,20,1e-07,2.5303592681884766,1000,0.005,20.0,1e-06,161.0,4.612169981002808,0.05064137652516365,333.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_2LJ0.33_n1000_d3,-0.027303894981741905,4.712398052215576,0.05,0.1,20,1e-07,2.5303592681884766,1000,0.005,20.0,1e-06,29.0,2.0304839611053467,-0.0012939481530338526,333.0,"[32, 16, 3]"
Energy_LJ_2scale,CG_2LJ0.25_n1000_d3,0.4726959764957428,18.477807998657227,0.05,0.1,20,1e-07,2.5303592681884766,1000,0.05,20.0,1e-06,994.0,17.207709550857544,0.49856817722320557,250.0,
Energy_LJ_2scale,GNN_2LJ0.25_n1000_d3,0.49917981028556824,16.15006685256958,0.05,0.1,20,1e-07,2.5303592681884766,1000,0.005,20.0,1e-06,619.0,13.843321561813354,0.4988325536251068,250.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_2LJ0.25_n1000_d3,-0.024172019213438034,4.302514314651489,0.05,0.1,20,1e-07,2.5303592681884766,1000,0.005,20.0,1e-06,37.0,2.2065658569335938,-0.005265375599265099,250.0,"[32, 16, 3]"
