energy_function,model_name,energy,time,lr,clamp_grads,patience,min_delta,x0_std,num_nodes,lr_cg,cg_patience,cg_min_delta,cg_steps,cg_time,cg_energy,num_cg_modes,hidden_dims
Energy_Bond_LJ,GD_Bond_LJ_n1000_d3,-0.022777285426855087,10.91849970817566,0.05,0.1,20,1e-06,2.4494590759277344,1000,,,,,,,,
Energy_Bond_LJ,CG_Bond_LJ0.33_n1000_d3,-0.02331213466823101,14.456980228424072,0.05,0.1,20,1e-06,2.4494590759277344,1000,0.05,20.0,9.999999999999999e-06,544.0,10.700821161270142,-0.020302902907133102,333.0,
Energy_Bond_LJ,GNN_Bond_LJ0.33_n1000_d3,-0.014732345007359982,20.72640299797058,0.05,0.1,20,1e-06,2.4494590759277344,1000,0.005,20.0,9.999999999999999e-06,614.0,14.978872776031494,-0.014174951240420341,333.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.33_n1000_d3,-0.02052992954850197,6.009237766265869,0.05,0.1,20,1e-06,2.4494590759277344,1000,0.005,20.0,9.999999999999999e-06,208.0,5.664539337158203,-0.017016181722283363,333.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.25_n1000_d3,-0.014196841977536678,9.047730207443237,0.05,0.1,20,1e-06,2.4494590759277344,1000,0.05,20.0,9.999999999999999e-06,359.0,7.528657913208008,-0.012859638780355453,250.0,
Energy_Bond_LJ,GNN_Bond_LJ0.25_n1000_d3,-0.014698443002998829,13.584061622619629,0.05,0.1,20,1e-06,2.4494590759277344,1000,0.005,20.0,9.999999999999999e-06,431.0,10.562076568603516,-0.013498191721737385,250.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.25_n1000_d3,-0.022770704701542854,12.646562099456787,0.05,0.1,20,1e-06,2.4494590759277344,1000,0.005,20.0,9.999999999999999e-06,253.0,6.934949636459351,-0.022274112328886986,250.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.20_n1000_d3,-0.023343170061707497,13.153043270111084,0.05,0.1,20,1e-06,2.4494590759277344,1000,0.05,20.0,9.999999999999999e-06,591.0,11.943966627120972,-0.022390056401491165,200.0,
Energy_Bond_LJ,GNN_Bond_LJ0.20_n1000_d3,-0.023112010210752487,17.938087224960327,0.05,0.1,20,1e-06,2.4494590759277344,1000,0.005,20.0,9.999999999999999e-06,619.0,14.890392065048218,-0.022721998393535614,200.0,"[8, 4, 3]"
Energy_Bond_LJ,GNN_Bond_LJ0.20_n1000_d3,-0.021055500954389572,7.1022865772247314,0.05,0.1,20,1e-06,2.4494590759277344,1000,0.005,20.0,9.999999999999999e-06,241.0,6.754831790924072,-0.0164940245449543,200.0,"[32, 16, 3]"
Energy_Bond_LJ,CG_Bond_LJ0.33_n1000_d3,-0.00777148362249136,3.266658067703247,0.05,0.1,20,1e-06,2.4494590759277344,1000,0.5,20.0,9.999999999999999e-06,115.0,2.9039969444274902,-0.0043068528175354,333.0,
